symbol,starttime,start_LTP,endtime,end_LTP,change_pct,start_buySellRatio,end_buySellRatio,bidAskSpread_start,bidAskSpread_end
NSE:FEDFINA-EQ,2025-09-25 11:53:58.934981,149.81,2025-09-25 12:22:39.736196,148.81,0.770,0.6769,0.5873,0.1200,0.0500
NSE:FIEMIND-EQ,2025-09-25 09:55:16.926559,2046.00,2025-09-25 10:24:01.520537,2030.50,0.660,0.7303,0.7655,2.2000,1.8000
NSE:FIEMIND-EQ,2025-09-25 10:26:58.177596,2035.80,2025-09-25 10:39:35.632733,2023.70,0.682,0.8331,0.7773,1.8000,1.2000
NSE:FIEMIND-EQ,2025-09-25 11:25:24.820093,2029.90,2025-09-25 11:53:12.736301,2015.10,0.665,0.9516,0.7066,1.4000,1.2000
NSE:FIEMIND-EQ,2025-09-25 11:55:40.537077,2017.20,2025-09-25 12:25:28.914759,2034.00,0.828,0.7324,1.0493,1.5000,2.1000
NSE:FIEMIND-EQ,2025-09-25 14:30:35.637914,2026.80,2025-09-25 15:00:31.683275,2012.40,0.676,0.8994,0.7942,2.1000,0.3000
NSE:FINCABLES-EQ,2025-09-25 14:40:17.336019,824.30,2025-09-25 15:10:15.975069,818.70,0.661,0.8430,0.7600,0.4500,0.2500
NSE:FINOPB-EQ,2025-09-25 09:32:02.056963,264.95,2025-09-25 09:54:34.802408,267.00,0.670,0.5495,0.7719,0.2000,0.3500
NSE:FINOPB-EQ,2025-09-25 09:54:41.343221,267.00,2025-09-25 09:59:01.767822,268.60,0.703,0.7726,0.9881,0.3500,0.5000
NSE:FINOPB-EQ,2025-09-25 10:03:16.864791,267.40,2025-09-25 10:27:12.663564,269.25,0.673,0.8012,0.8721,0.3500,0.3500
NSE:FINOPB-EQ,2025-09-25 10:27:20.629328,269.25,2025-09-25 10:45:54.623821,268.15,0.668,0.8800,0.7444,0.3500,0.0500
NSE:FINOPB-EQ,2025-09-25 14:37:34.212739,265.45,2025-09-25 15:07:03.510269,263.70,0.669,0.6211,0.6299,0.2500,0.2000
NSE:FINPIPE-EQ,2025-09-25 09:32:46.088907,209.75,2025-09-25 10:02:03.745102,211.03,0.661,0.3848,0.5934,0.2800,0.2300
NSE:FINPIPE-EQ,2025-09-25 10:03:01.552427,210.59,2025-09-25 10:19:28.569618,212.21,0.705,0.6360,0.6933,0.2300,0.0800
NSE:FINPIPE-EQ,2025-09-25 10:28:20.576708,211.69,2025-09-25 10:58:17.640872,213.60,0.923,0.6587,0.7080,0.1000,0.1900
NSE:FINPIPE-EQ,2025-09-25 11:04:21.592825,213.60,2025-09-25 11:34:21.185468,212.00,0.695,0.6023,0.4962,0.1000,0.1300
NSE:FIRSTCRY-EQ,2025-09-25 09:32:02.096305,385.35,2025-09-25 09:45:54.295314,383.00,0.681,0.4782,0.4179,0.3000,0.2500
NSE:FIRSTCRY-EQ,2025-09-25 09:47:37.597154,382.30,2025-09-25 10:00:20.736541,385.20,0.693,0.4189,0.5554,0.3000,0.1000
NSE:FIRSTCRY-EQ,2025-09-25 10:16:31.766778,385.00,2025-09-25 10:46:00.665633,382.30,0.663,0.5290,0.4760,0.2500,0.0500
NSE:FIRSTCRY-EQ,2025-09-25 11:27:59.887960,381.75,2025-09-25 11:51:37.839113,384.05,0.681,0.4617,0.5230,0.1000,0.3000
NSE:FIRSTCRY-EQ,2025-09-25 11:51:39.892873,384.05,2025-09-25 12:10:13.679818,381.75,0.670,0.5200,0.4096,0.3500,0.3000
NSE:FIRSTCRY-EQ,2025-09-25 12:14:39.133253,381.80,2025-09-25 12:44:38.619032,379.35,0.661,0.4221,0.3925,0.3000,0.3500
NSE:FIRSTCRY-EQ,2025-09-25 14:39:04.361531,380.65,2025-09-25 15:09:03.293420,377.85,0.710,0.4469,0.3330,0.2500,0.2500
NSE:FIVESTAR-EQ,2025-09-25 09:32:03.604513,521.55,2025-09-25 09:35:05.604924,518.35,0.680,0.3817,0.2478,0.3500,0.3500
NSE:FIVESTAR-EQ,2025-09-25 09:35:06.780506,518.00,2025-09-25 09:55:21.970115,521.50,0.675,0.2478,0.3885,0.3500,0.2500
NSE:FIVESTAR-EQ,2025-09-25 09:55:28.170385,521.95,2025-09-25 10:24:10.604577,518.30,0.661,0.3872,0.3816,0.4000,0.1000
NSE:FIVESTAR-EQ,2025-09-25 10:57:36.709521,515.55,2025-09-25 11:21:35.433975,519.25,0.674,0.4104,0.4783,0.3500,0.4000
NSE:FIVESTAR-EQ,2025-09-25 14:53:15.008178,522.40,2025-09-25 15:07:31.234231,519.15,0.665,0.4843,0.4464,0.3500,0.1000
NSE:FLUOROCHEM-EQ,2025-09-25 09:36:29.462999,3752.50,2025-09-25 09:43:43.616769,3776.40,0.704,0.5429,0.7092,1.8000,3.8000
NSE:FLUOROCHEM-EQ,2025-09-25 14:17:05.626727,3738.90,2025-09-25 14:47:02.799063,3768.00,0.777,0.6694,0.7085,1.1000,3.0000
NSE:FLUOROCHEM-EQ,2025-09-25 14:47:20.702600,3763.20,2025-09-25 14:54:01.638291,3787.70,0.660,0.6940,0.8106,3.9000,1.6000
NSE:FLUOROCHEM-EQ,2025-09-25 14:54:03.295231,3789.80,2025-09-25 15:06:53.926608,3763.00,0.685,0.8019,0.7826,2.1000,3.4000
NSE:FLUOROCHEM-EQ,2025-09-25 15:07:26.772477,3760.20,2025-09-25 15:13:40.950958,3788.00,0.736,0.7612,0.8404,3.6000,2.7000
NSE:FORCEMOT-EQ,2025-09-25 09:40:02.202988,18156.00,2025-09-25 09:45:35.333989,18018.00,0.664,0.4370,0.3794,13.0000,10.0000
NSE:FORCEMOT-EQ,2025-09-25 10:11:12.763252,18075.00,2025-09-25 10:38:02.357472,17950.00,0.661,0.4355,0.3666,5.0000,6.0000
NSE:FORCEMOT-EQ,2025-09-25 11:19:31.796690,17991.00,2025-09-25 11:49:28.077792,17875.00,0.664,0.4053,0.3726,6.0000,15.0000
NSE:FORCEMOT-EQ,2025-09-25 11:56:47.690758,17927.00,2025-09-25 12:14:49.556980,17804.00,0.661,0.4177,0.3231,11.0000,8.0000
NSE:FORCEMOT-EQ,2025-09-25 12:59:18.219955,17818.00,2025-09-25 13:29:17.713401,17940.00,0.670,0.3778,0.5118,14.0000,9.0000
NSE:FORCEMOT-EQ,2025-09-25 14:30:47.679655,17919.00,2025-09-25 15:00:45.046928,17800.00,0.675,0.5192,0.4617,9.0000,5.0000
NSE:FORCEMOT-EQ,2025-09-25 15:00:46.625160,17805.00,2025-09-25 15:12:34.224435,17684.00,0.671,0.4622,0.4257,5.0000,2.0000
NSE:FORTIS-EQ,2025-09-25 09:52:38.938021,959.95,2025-09-25 10:22:38.539033,953.30,0.664,1.1127,0.7595,0.0500,0.6000
NSE:FORTIS-EQ,2025-09-25 10:54:33.518429,953.15,2025-09-25 11:24:33.076989,946.70,0.661,0.9264,0.7108,0.0500,0.2500
NSE:FSL-EQ,2025-09-25 09:32:46.901028,358.80,2025-09-25 10:01:14.355631,361.20,0.697,0.5914,0.6908,0.3000,0.1000
NSE:FSL-EQ,2025-09-25 10:01:15.183133,361.20,2025-09-25 10:30:15.513018,358.75,0.665,0.6908,0.3438,0.1000,0.1000
NSE:FUSION-EQ,2025-09-25 09:35:21.263347,192.80,2025-09-25 09:54:45.995771,194.30,0.663,0.2453,0.2160,0.2300,0.2100
NSE:FUSION-EQ,2025-09-25 10:15:23.468149,193.69,2025-09-25 10:39:51.342323,192.41,0.663,0.2076,0.1860,0.2200,0.2700
NSE:FUSION-EQ,2025-09-25 10:42:22.025958,192.28,2025-09-25 10:55:40.962103,193.86,0.665,0.1837,0.2240,0.2500,0.2500
NSE:FUSION-EQ,2025-09-25 10:55:57.414958,193.86,2025-09-25 11:25:53.733713,195.09,0.782,0.2283,0.4363,0.2600,0.2900
NSE:FUSION-EQ,2025-09-25 11:25:57.443131,194.99,2025-09-25 11:34:48.603407,196.14,0.670,0.4309,0.4826,0.2600,0.2700
NSE:FUSION-EQ,2025-09-25 11:34:50.083560,196.14,2025-09-25 11:39:46.661112,195.00,0.709,0.4835,0.3767,0.2700,0.2500
